PID,id,Block,Type,Trial,Cue Time,Action,Action Time,Reward,Reward Time,RT,Spin Speed,Craving Rating,Mood Rating,pid_db
61281debe85082cc937dd9ae,44,1,other,39,1647963263.253,0,1647963263.456,1,1647963267.975,0.2030000686645507,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,45,1,other,40,1647963269.018,0,1647963269.341,1,1647963272.354,0.3230001926422119,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,46,1,other,41,1647963273.383,0,1647963273.569,1,1647963276.554,0.186000108718872,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,47,1,other,42,1647963277.648,0,1647963278.005,1,1647963282.532,0.3570001125335693,slow,32.0,39.0,1
61281debe85082cc937dd9ae,48,1,other,43,1647963289.528,0,1647963290.268,0,1647963293.301,0.7399997711181641,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,49,1,other,44,1647963294.327,1,1647963294.443,0,1647963298.911,0.1160001754760742,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,50,1,other,45,1647963299.946,0,1647963300.61,1,1647963305.143,0.6639997959136963,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,51,1,other,46,1647963306.189,0,1647963306.429,1,1647963309.49,0.2400000095367431,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,52,1,other,47,1647963310.521,0,1647963310.973,0,1647963314.005,0.4520001411437988,fast,22.0,-1.0,1
61281debe85082cc937dd9ae,53,1,other,48,1647963317.685,0,1647963318.205,1,1647963322.752,0.5199999809265137,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,54,1,other,49,1647963323.802,0,1647963324.102,0,1647963327.135,0.2999999523162842,fast,25.0,25.0,1
61281debe85082cc937dd9ae,55,1,other,50,1647963332.763,1,1647963333.697,1,1647963336.713,0.9340000152587892,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,56,1,other,51,1647963337.764,1,1647963338.133,1,1647963342.665,0.3689999580383301,slow,31.0,28.0,1
61281debe85082cc937dd9ae,57,1,other,52,1647963349.191,0,1647963349.865,0,1647963354.379,0.6740000247955322,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,58,1,other,53,1647963355.408,0,1647963355.487,0,1647963358.51,0.0789999961853027,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,59,1,other,54,1647963359.541,0,1647963359.654,0,1647963364.143,0.1130001544952392,slow,19.0,8.0,1
61281debe85082cc937dd9ae,60,1,other,55,1647963370.534,0,1647963371.457,0,1647963374.469,0.9230000972747804,fast,21.0,-1.0,1
61281debe85082cc937dd9ae,61,1,other,56,1647963377.817,0,1647963378.536,0,1647963383.031,0.7190001010894775,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,62,1,other,57,1647963384.085,1,1647963384.18,1,1647963388.661,0.0950000286102294,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,63,1,other,58,1647963389.694,1,1647963389.852,1,1647963392.815,0.1579999923706054,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,64,1,other,59,1647963393.843,1,1647963393.998,1,1647963397.011,0.1549999713897705,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,65,1,other,60,1647963398.113,1,1647963398.168,0,1647963402.696,0.0550000667572021,slow,25.0,34.0,1
61281debe85082cc937dd9ae,66,2,money,1,1647963413.852,0,1647963414.355,0,1647963417.391,0.503000020980835,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,67,2,money,2,1647963418.424,1,1647963418.619,1,1647963421.608,0.1949999332427978,fast,21.0,-1.0,1
61281debe85082cc937dd9ae,68,2,money,3,1647963425.315,1,1647963425.988,1,1647963430.531,0.6729998588562012,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,69,2,money,4,1647963431.563,1,1647963431.698,0,1647963436.179,0.1349999904632568,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,70,2,money,5,1647963437.211,1,1647963437.614,0,1647963440.633,0.4030001163482666,fast,11.0,13.0,1
61281debe85082cc937dd9ae,71,2,money,6,1647963447.324,0,1647963447.647,1,1647963452.158,0.3230001926422119,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,72,2,money,7,1647963453.205,0,1647963453.241,1,1647963456.24,0.0360000133514404,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,73,2,money,8,1647963457.287,0,1647963457.394,1,1647963461.924,0.1070001125335693,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,74,2,money,9,1647963462.969,0,1647963463.221,0,1647963467.736,0.2519998550415039,slow,11.0,-1.0,1
61281debe85082cc937dd9ae,75,2,money,10,1647963471.816,0,1647963472.07,1,1647963475.085,0.2539999485015869,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,76,2,money,11,1647963476.131,0,1647963476.404,1,1647963479.413,0.2730000019073486,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,77,2,money,12,1647963480.465,0,1647963481.098,1,1647963485.633,0.6330001354217529,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,78,2,money,13,1647963486.679,0,1647963486.798,1,1647963489.8,0.1190001964569091,fast,17.0,39.0,1
61281debe85082cc937dd9ae,79,2,money,14,1647963496.458,0,1647963497.045,0,1647963501.558,0.5870001316070557,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,80,2,money,15,1647963502.596,1,1647963502.667,1,1647963505.643,0.0710000991821289,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,81,2,money,16,1647963506.688,1,1647963506.805,1,1647963509.837,0.1170001029968261,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,82,2,money,17,1647963510.87,1,1647963510.953,1,1647963515.54,0.0830001831054687,slow,13.0,40.0,1
61281debe85082cc937dd9ae,83,2,money,18,1647963521.999,0,1647963522.555,0,1647963527.065,0.5559999942779541,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,84,2,money,19,1647963528.131,0,1647963528.299,0,1647963532.765,0.1679999828338623,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,85,2,money,20,1647963533.818,1,1647963534.0,1,1647963536.965,0.181999921798706,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,86,2,money,21,1647963538.011,1,1647963538.213,1,1647963541.231,0.2020001411437988,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,87,2,money,22,1647963542.277,1,1647963542.414,0,1647963546.928,0.1370000839233398,slow,13.0,33.0,1
61281debe85082cc937dd9ae,88,2,money,23,1647963553.588,0,1647963553.993,0,1647963558.524,0.4049999713897705,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,89,2,money,24,1647963559.574,0,1647963559.671,0,1647963564.175,0.0970001220703125,slow,12.0,-1.0,1
61281debe85082cc937dd9ae,90,2,money,25,1647963568.117,1,1647963568.907,1,1647963571.932,0.7899999618530273,fast,0.0,16.0,1
61281debe85082cc937dd9ae,91,2,money,26,1647963580.496,1,1647963581.048,0,1647963584.069,0.5520000457763672,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,92,2,money,27,1647963585.115,0,1647963585.245,1,1647963589.729,0.1299998760223388,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,93,2,money,28,1647963590.776,0,1647963590.929,1,1647963595.447,0.1529998779296875,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,94,2,money,29,1647963596.491,0,1647963596.524,1,1647963599.51,0.0329999923706054,fast,16.0,-1.0,1
61281debe85082cc937dd9ae,95,2,money,30,1647963603.456,0,1647963603.998,1,1647963608.536,0.5419998168945312,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,96,2,money,31,1647963609.586,0,1647963609.722,1,1647963612.753,0.1359999179840088,fast,15.0,41.0,1
61281debe85082cc937dd9ae,97,2,money,32,1647963619.22,0,1647963620.103,1,1647963624.633,0.8829998970031738,slow,2.0,-1.0,1
61281debe85082cc937dd9ae,98,2,money,33,1647963628.931,0,1647963629.517,1,1647963634.054,0.5859999656677246,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,99,2,money,34,1647963635.096,0,1647963635.268,1,1647963638.282,0.1719999313354492,fast,1.0,40.0,1
61281debe85082cc937dd9ae,100,2,money,35,1647963645.347,1,1647963645.746,1,1647963648.796,0.3990001678466797,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,101,2,money,36,1647963649.846,1,1647963649.939,0,1647963654.44,0.0929999351501464,slow,50.0,-1.0,1
61281debe85082cc937dd9ae,102,2,money,37,1647963659.452,1,1647963660.143,1,1647963663.175,0.6909999847412109,fast,6.0,-1.0,1
61281debe85082cc937dd9ae,103,2,money,38,1647963667.666,0,1647963668.335,0,1647963671.351,0.6690001487731934,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,104,2,money,39,1647963672.385,0,1647963672.483,0,1647963677.0,0.0980000495910644,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,105,2,money,40,1647963678.046,1,1647963678.13,0,1647963681.149,0.0840001106262207,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,106,2,money,41,1647963682.182,1,1647963682.253,1,1647963685.277,0.0710000991821289,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,107,2,money,42,1647963686.327,1,1647963686.437,0,1647963690.925,0.1100001335144043,slow,9.0,3.0,1
61281debe85082cc937dd9ae,108,2,money,43,1647963699.189,0,1647963699.356,0,1647963702.371,0.1670000553131103,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,109,2,money,44,1647963703.404,0,1647963703.639,0,1647963708.153,0.2349998950958252,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,110,2,money,45,1647963709.192,1,1647963709.402,1,1647963713.939,0.2100000381469726,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,111,2,money,46,1647963714.989,1,1647963715.051,1,1647963718.066,0.062000036239624,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,112,2,money,47,1647963719.116,1,1647963719.148,0,1647963722.165,0.0320000648498535,fast,9.0,-1.0,1
61281debe85082cc937dd9ae,113,2,money,48,1647963726.196,1,1647963726.43,1,1647963730.979,0.2339999675750732,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,114,2,money,49,1647963732.028,1,1647963732.147,1,1647963735.161,0.11899995803833,fast,2.0,38.0,1
61281debe85082cc937dd9ae,115,2,money,50,1647963742.008,0,1647963742.615,1,1647963745.625,0.6070001125335693,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,116,2,money,51,1647963746.673,0,1647963746.704,1,1647963751.225,0.0309998989105224,slow,12.0,42.0,1
61281debe85082cc937dd9ae,117,2,money,52,1647963757.986,0,1647963758.256,1,1647963762.755,0.2699999809265136,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,118,2,money,53,1647963763.803,0,1647963763.868,1,1647963766.901,0.0650000572204589,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,119,2,money,54,1647963767.95,0,1647963768.602,1,1647963773.133,0.6519999504089355,slow,15.0,48.0,1
61281debe85082cc937dd9ae,120,2,money,55,1647963779.778,0,1647963780.383,1,1647963783.417,0.6049997806549072,fast,7.0,-1.0,1
61281debe85082cc937dd9ae,121,2,money,56,1647963787.645,0,1647963788.298,1,1647963792.814,0.6530001163482666,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,122,2,money,57,1647963793.891,0,1647963794.164,1,1647963798.712,0.2730000019073486,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,123,2,money,58,1647963799.755,0,1647963799.923,1,1647963802.938,0.1679999828338623,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,124,2,money,59,1647963803.991,0,1647963804.127,0,1647963807.12,0.1360001564025879,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,125,2,money,60,1647963808.156,0,1647963808.71,1,1647963813.254,0.5540001392364502,slow,9.0,47.0,1
58595b56a3149800011e156e,126,0,practice,1,1647964964.691,0,1647964965.74,1,1647964968.757,1.0490000247955322,fast,-1.0,-1.0,2
58595b56a3149800011e156e,127,0,practice,2,1647964969.807,0,1647964970.807,1,1647964973.824,1.0,fast,30.0,-1.0,2
58595b56a3149800011e156e,128,0,practice,3,1647964978.659,0,1647964979.409,1,1647964983.926,0.75,slow,-1.0,-1.0,2
58595b56a3149800011e156e,129,0,practice,4,1647964984.959,0,1647964986.076,1,1647964990.593,1.116999864578247,slow,-1.0,-1.0,2
58595b56a3149800011e156e,130,0,practice,5,1647964991.643,0,1647964992.311,1,1647964995.327,0.6680002212524414,fast,33.0,37.0,2
58595b56a3149800011e156e,131,1,money,1,1647965008.43,1,1647965008.995,0,1647965012.013,0.5649998188018799,fast,-1.0,-1.0,2
58595b56a3149800011e156e,132,1,money,2,1647965013.046,0,1647965013.346,1,1647965016.38,0.2999999523162842,fast,31.0,-1.0,2
58595b56a3149800011e156e,133,1,money,3,1647965020.547,0,1647965021.214,1,1647965025.733,0.6670000553131104,slow,-1.0,-1.0,2
58595b56a3149800011e156e,134,1,money,4,1647965026.782,0,1647965026.966,0,1647965031.482,0.184000015258789,slow,-1.0,-1.0,2
58595b56a3149800011e156e,135,1,money,5,1647965032.516,0,1647965033.315,1,1647965036.35,0.7990000247955322,fast,29.0,25.0,2
58595b56a3149800011e156e,136,1,money,6,1647965041.301,1,1647965041.717,0,1647965046.235,0.4159998893737793,slow,-1.0,-1.0,2
58595b56a3149800011e156e,137,1,money,7,1647965047.284,0,1647965047.734,1,1647965050.752,0.4500000476837158,fast,-1.0,-1.0,2
58595b56a3149800011e156e,138,1,money,8,1647965051.785,0,1647965051.985,0,1647965056.504,0.1999998092651367,slow,-1.0,-1.0,2
58595b56a3149800011e156e,139,1,money,9,1647965057.552,0,1647965058.019,0,1647965062.537,0.4670000076293945,slow,29.0,-1.0,2
58595b56a3149800011e156e,140,1,money,10,1647965066.22,1,1647965066.653,0,1647965069.687,0.4330000877380371,fast,-1.0,-1.0,2
58595b56a3149800011e156e,141,1,money,11,1647965070.72,1,1647965070.854,1,1647965073.888,0.1340000629425048,fast,-1.0,-1.0,2
58595b56a3149800011e156e,142,1,money,12,1647965074.922,1,1647965075.054,0,1647965079.588,0.1319999694824218,slow,-1.0,-1.0,2
58595b56a3149800011e156e,143,1,money,13,1647965080.622,0,1647965081.089,0,1647965084.107,0.4670000076293945,fast,30.0,29.0,2
58595b56a3149800011e156e,144,1,money,14,1647965091.824,0,1647965092.531,1,1647965097.041,0.7070000171661377,slow,-1.0,-1.0,2
58595b56a3149800011e156e,145,1,money,15,1647965098.075,0,1647965098.591,0,1647965101.625,0.5160000324249268,fast,-1.0,-1.0,2
58595b56a3149800011e156e,146,1,money,16,1647965102.659,0,1647965102.709,0,1647965105.727,0.0500001907348632,fast,-1.0,-1.0,2
58595b56a3149800011e156e,147,1,money,17,1647965106.776,1,1647965107.275,1,1647965111.81,0.499000072479248,slow,29.0,30.0,2
58595b56a3149800011e156e,148,1,money,18,1647965118.511,1,1647965119.095,1,1647965123.628,0.5840001106262207,slow,-1.0,-1.0,2
58595b56a3149800011e156e,149,1,money,19,1647965124.663,1,1647965125.212,1,1647965129.729,0.5489997863769531,slow,-1.0,-1.0,2
58595b56a3149800011e156e,150,1,money,20,1647965130.779,1,1647965131.229,0,1647965134.246,0.4500000476837158,fast,-1.0,-1.0,2
58595b56a3149800011e156e,151,1,money,21,1647965135.297,1,1647965135.479,1,1647965138.497,0.1820001602172851,fast,-1.0,-1.0,2
58595b56a3149800011e156e,152,1,money,22,1647965139.531,1,1647965140.128,0,1647965144.649,0.5970001220703125,slow,29.0,33.0,2
58595b56a3149800011e156e,153,1,money,23,1647965182.919,1,1647965183.587,1,1647965188.121,0.6679999828338623,slow,-1.0,-1.0,2
