PID,id,Block,Type,Trial,Cue Time,Action,Action Time,Reward,Reward Time,RT,Spin Speed,Craving Rating,Mood Rating,pid_db,Q_left,Q_right,PE
61281debe85082cc937dd9ae,33,1,other,28,1647963182.264,1,1647963182.401,1,1647963186.917,0.1370000839233398,slow,-1.0,-1.0,1,0.42098234478111496,0.9690313827385434,0.07326575538785796
61281debe85082cc937dd9ae,34,1,other,29,1647963187.962,1,1647963188.063,0,1647963191.08,0.1010000705718994,fast,30.0,-1.0,1,0.42098234478111496,0.40959875247998023,-0.9690313827385434
61281debe85082cc937dd9ae,35,1,other,30,1647963195.909,0,1647963196.633,0,1647963201.162,0.7239999771118164,slow,-1.0,-1.0,1,0.17794453957841155,0.40959875247998023,-0.42098234478111496
61281debe85082cc937dd9ae,36,1,other,31,1647963202.211,0,1647963202.397,1,1647963205.396,0.186000108718872,fast,22.0,24.0,1,0.6525263298424178,0.40959875247998023,0.8220554604215884
61281debe85082cc937dd9ae,37,1,other,32,1647963211.587,0,1647963212.304,0,1647963216.803,0.7170000076293945,slow,21.0,-1.0,1,0.2758155983642774,0.40959875247998023,-0.6525263298424178
61281debe85082cc937dd9ae,38,1,other,33,1647963220.302,0,1647963220.942,0,1647963225.472,0.6399998664855957,slow,-1.0,-1.0,1,0.11658417572117888,0.40959875247998023,-0.2758155983642774
61281debe85082cc937dd9ae,39,1,other,34,1647963226.52,1,1647963226.722,1,1647963229.722,0.2019999027252197,fast,28.0,34.0,1,0.11658417572117888,0.7504439807063791,0.5904012475200198
61281debe85082cc937dd9ae,40,1,other,35,1647963235.781,1,1647963236.435,1,1647963239.451,0.6540000438690186,fast,-1.0,-1.0,1,0.11658417572117888,0.8945154553326612,0.24955601929362092
61281debe85082cc937dd9ae,41,1,other,36,1647963240.501,1,1647963240.635,1,1647963245.128,0.1340000629425048,slow,50.0,-1.0,1,0.11658417572117888,0.9554128600256919,0.10548454466733881
61281debe85082cc937dd9ae,42,1,other,37,1647963250.541,1,1647963251.396,0,1647963254.429,0.8550000190734863,fast,22.0,-1.0,1,0.11658417572117888,0.4038423548924841,-0.9554128600256919
61281debe85082cc937dd9ae,43,1,other,38,1647963258.538,0,1647963259.192,1,1647963262.209,0.6539998054504395,fast,-1.0,-1.0,1,0.626589988733823,0.4038423548924841,0.8834158242788211
61281debe85082cc937dd9ae,44,1,other,39,1647963263.253,0,1647963263.456,1,1647963267.975,0.2030000686645507,slow,-1.0,-1.0,1,0.842163754959184,0.4038423548924841,0.373410011266177
61281debe85082cc937dd9ae,45,1,other,40,1647963269.018,0,1647963269.341,1,1647963272.354,0.3230001926422119,fast,-1.0,-1.0,1,0.933284380447887,0.4038423548924841,0.15783624504081595
61281debe85082cc937dd9ae,46,1,other,41,1647963273.383,0,1647963273.569,1,1647963276.554,0.186000108718872,fast,-1.0,-1.0,1,0.9718000520661697,0.4038423548924841,0.06671561955211303
61281debe85082cc937dd9ae,47,1,other,42,1647963277.648,0,1647963278.005,1,1647963282.532,0.3570001125335693,slow,32.0,39.0,1,0.9880801966794364,0.4038423548924841,0.028199947933830294
61281debe85082cc937dd9ae,48,1,other,43,1647963289.528,0,1647963290.268,0,1647963293.301,0.7399997711181641,fast,-1.0,-1.0,1,0.41765047357528984,0.4038423548924841,-0.9880801966794364
61281debe85082cc937dd9ae,49,1,other,44,1647963294.327,1,1647963294.443,0,1647963298.911,0.1160001754760742,slow,-1.0,-1.0,1,0.41765047357528984,0.1706996571102481,-0.4038423548924841
61281debe85082cc937dd9ae,50,1,other,45,1647963299.946,0,1647963300.61,1,1647963305.143,0.6639997959136963,slow,-1.0,-1.0,1,0.7538473533676806,0.1706996571102481,0.5823495264247102
61281debe85082cc937dd9ae,51,1,other,46,1647963306.189,0,1647963306.429,1,1647963309.49,0.2400000095367431,fast,-1.0,-1.0,1,0.8959540229798244,0.1706996571102481,0.2461526466323194
61281debe85082cc937dd9ae,52,1,other,47,1647963310.521,0,1647963310.973,0,1647963314.005,0.4520001411437988,fast,22.0,-1.0,1,0.378709767948735,0.1706996571102481,-0.8959540229798244
61281debe85082cc937dd9ae,53,1,other,48,1647963317.685,0,1647963318.205,1,1647963322.752,0.5199999809265137,slow,-1.0,-1.0,1,0.7373875516218886,0.1706996571102481,0.621290232051265
61281debe85082cc937dd9ae,54,1,other,49,1647963323.802,0,1647963324.102,0,1647963327.135,0.2999999523162842,fast,25.0,25.0,1,0.31168548988065625,0.1706996571102481,-0.7373875516218886
61281debe85082cc937dd9ae,55,1,other,50,1647963332.763,1,1647963333.697,1,1647963336.713,0.9340000152587892,fast,-1.0,-1.0,1,0.31168548988065625,0.6494639988656464,0.8293003428897519
61281debe85082cc937dd9ae,56,1,other,51,1647963337.764,1,1647963338.133,1,1647963342.665,0.3689999580383301,slow,31.0,28.0,1,0.31168548988065625,0.8518323438006842,0.35053600113435357
61281debe85082cc937dd9ae,57,1,other,52,1647963349.191,0,1647963349.865,0,1647963354.379,0.6740000247955322,slow,-1.0,-1.0,1,0.13174597860849072,0.8518323438006842,-0.31168548988065625
61281debe85082cc937dd9ae,58,1,other,53,1647963355.408,0,1647963355.487,0,1647963358.51,0.0789999961853027,fast,-1.0,-1.0,1,0.05568755506120883,0.8518323438006842,-0.13174597860849072
61281debe85082cc937dd9ae,59,1,other,54,1647963359.541,0,1647963359.654,0,1647963364.143,0.1130001544952392,slow,19.0,8.0,1,0.02353850813094424,0.8518323438006842,-0.05568755506120883
61281debe85082cc937dd9ae,60,1,other,55,1647963370.534,0,1647963371.457,0,1647963374.469,0.9230000972747804,fast,21.0,-1.0,1,0.009949464730881668,0.8518323438006842,-0.02353850813094424
61281debe85082cc937dd9ae,61,1,other,56,1647963377.817,0,1647963378.536,0,1647963383.031,0.7190001010894775,slow,-1.0,-1.0,1,0.004205527719954407,0.8518323438006842,-0.009949464730881668
61281debe85082cc937dd9ae,62,1,other,57,1647963384.085,1,1647963384.18,1,1647963388.661,0.0950000286102294,slow,-1.0,-1.0,1,0.004205527719954407,0.9373711850635729,0.14816765619931582
61281debe85082cc937dd9ae,63,1,other,58,1647963389.694,1,1647963389.852,1,1647963392.815,0.1579999923706054,fast,-1.0,-1.0,1,0.004205527719954407,0.9735274987743286,0.06262881493642714
61281debe85082cc937dd9ae,64,1,other,59,1647963393.843,1,1647963393.998,1,1647963397.011,0.1549999713897705,fast,-1.0,-1.0,1,0.004205527719954407,0.9888103691271417,0.026472501225671352
61281debe85082cc937dd9ae,65,1,other,60,1647963398.113,1,1647963398.168,0,1647963402.696,0.0550000667572021,slow,25.0,34.0,1,0.004205527719954407,0.41795910932125524,-0.9888103691271417
61281debe85082cc937dd9ae,66,2,money,1,1647963413.852,0,1647963414.355,0,1647963417.391,0.503000020980835,fast,-1.0,-1.0,1,0.260352855549735,0.5,-0.5
61281debe85082cc937dd9ae,67,2,money,2,1647963418.424,1,1647963418.619,1,1647963421.608,0.1949999332427978,fast,21.0,-1.0,1,0.260352855549735,0.739647144450265,0.5
61281debe85082cc937dd9ae,68,2,money,3,1647963425.315,1,1647963425.988,1,1647963430.531,0.6729998588562012,slow,-1.0,-1.0,1,0.260352855549735,0.8644327812141976,0.260352855549735
61281debe85082cc937dd9ae,69,2,money,4,1647963431.563,1,1647963431.698,0,1647963436.179,0.1349999904632568,slow,-1.0,-1.0,1,0.260352855549735,0.4501150860398313,-0.8644327812141976
61281debe85082cc937dd9ae,70,2,money,5,1647963437.211,1,1647963437.614,0,1647963440.633,0.4030001163482666,fast,11.0,13.0,1,0.260352855549735,0.23437749595296944,-0.4501150860398313
61281debe85082cc937dd9ae,71,2,money,6,1647963447.324,0,1647963447.647,1,1647963452.158,0.3230001926422119,slow,-1.0,-1.0,1,0.6148615076863324,0.23437749595296944,0.739647144450265
61281debe85082cc937dd9ae,72,2,money,7,1647963453.205,0,1647963453.241,1,1647963456.24,0.0360000133514404,fast,-1.0,-1.0,1,0.7994561874880339,0.23437749595296944,0.3851384923136676
61281debe85082cc937dd9ae,73,2,money,8,1647963457.287,0,1647963457.394,1,1647963461.924,0.1070001125335693,slow,-1.0,-1.0,1,0.8955756914993579,0.23437749595296944,0.20054381251196607
61281debe85082cc937dd9ae,74,2,money,9,1647963462.969,0,1647963463.221,0,1647963467.736,0.2519998550415039,slow,11.0,-1.0,1,0.46633137728557267,0.23437749595296944,-0.8955756914993579
61281debe85082cc937dd9ae,75,2,money,10,1647963471.816,0,1647963472.07,1,1647963475.085,0.2539999485015869,fast,-1.0,-1.0,1,0.7221157003180094,0.23437749595296944,0.5336686227144274
61281debe85082cc937dd9ae,76,2,money,11,1647963476.131,0,1647963476.404,1,1647963479.413,0.2730000019073486,fast,-1.0,-1.0,1,0.8553040581307109,0.23437749595296944,0.2778842996819906
61281debe85082cc937dd9ae,77,2,money,12,1647963480.465,0,1647963481.098,1,1647963485.633,0.6330001354217529,slow,-1.0,-1.0,1,0.9246559966957443,0.23437749595296944,0.14469594186928914
61281debe85082cc937dd9ae,78,2,money,13,1647963486.679,0,1647963486.798,1,1647963489.8,0.1190001964569091,fast,17.0,39.0,1,0.9607679471823767,0.23437749595296944,0.07534400330425572
61281debe85082cc937dd9ae,79,2,money,14,1647963496.458,0,1647963497.045,0,1647963501.558,0.5870001316070557,slow,-1.0,-1.0,1,0.5002773571391774,0.23437749595296944,-0.9607679471823767
61281debe85082cc937dd9ae,80,2,money,15,1647963502.596,1,1647963502.667,1,1647963505.643,0.0710000991821289,fast,-1.0,-1.0,1,0.5002773571391774,0.6013359895964342,0.7656225040470306
61281debe85082cc937dd9ae,81,2,money,16,1647963506.688,1,1647963506.805,1,1647963509.837,0.1170001029968261,fast,-1.0,-1.0,1,0.5002773571391774,0.7924133729730448,0.3986640104035658
61281debe85082cc937dd9ae,82,2,money,17,1647963510.87,1,1647963510.953,1,1647963515.54,0.0830001831054687,slow,13.0,40.0,1,0.5002773571391774,0.8919084577591888,0.20758662702695518
61281debe85082cc937dd9ae,83,2,money,18,1647963521.999,0,1647963522.555,0,1647963527.065,0.5559999942779541,slow,-1.0,-1.0,1,0.2604972769961189,0.8919084577591888,-0.5002773571391774
61281debe85082cc937dd9ae,84,2,money,19,1647963528.131,0,1647963528.299,0,1647963532.765,0.1679999828338623,slow,-1.0,-1.0,1,0.13564241985773967,0.8919084577591888,-0.2604972769961189
61281debe85082cc937dd9ae,85,2,money,20,1647963533.818,1,1647963534.0,1,1647963536.965,0.181999921798706,fast,-1.0,-1.0,1,0.13564241985773967,0.9437161166336601,0.10809154224081119
61281debe85082cc937dd9ae,86,2,money,21,1647963538.011,1,1647963538.213,1,1647963541.231,0.2020001411437988,fast,-1.0,-1.0,1,0.13564241985773967,0.9706926604882903,0.05628388336633994
61281debe85082cc937dd9ae,87,2,money,22,1647963542.277,1,1647963542.414,0,1647963546.928,0.1370000839233398,slow,13.0,33.0,1,0.13564241985773967,0.5054452120385915,-0.9706926604882903
61281debe85082cc937dd9ae,88,2,money,23,1647963553.588,0,1647963553.993,0,1647963558.524,0.4049999713897705,slow,-1.0,-1.0,1,0.0706297826872772,0.5054452120385915,-0.13564241985773967
61281debe85082cc937dd9ae,89,2,money,24,1647963559.574,0,1647963559.671,0,1647963564.175,0.0970001220703125,slow,12.0,-1.0,1,0.036777331218979706,0.5054452120385915,-0.0706297826872772
61281debe85082cc937dd9ae,90,2,money,25,1647963568.117,1,1647963568.907,1,1647963571.932,0.7899999618530273,fast,0.0,16.0,1,0.036777331218979706,0.7424824974569072,0.4945547879614085
61281debe85082cc937dd9ae,91,2,money,26,1647963580.496,1,1647963581.048,0,1647963584.069,0.5520000457763672,fast,-1.0,-1.0,1,0.036777331218979706,0.38661487681720924,-0.7424824974569072
61281debe85082cc937dd9ae,92,2,money,27,1647963585.115,0,1647963585.245,1,1647963589.729,0.1299998760223388,slow,-1.0,-1.0,1,0.49844445530524956,0.38661487681720924,0.9632226687810203
61281debe85082cc937dd9ae,93,2,money,28,1647963590.776,0,1647963590.929,1,1647963595.447,0.1529998779296875,slow,-1.0,-1.0,1,0.738837163443838,0.38661487681720924,0.5015555446947504
