PID,id,Block,Type,Trial,Cue Time,Action,Action Time,Reward,Reward Time,RT,Spin Speed,Craving Rating,Mood Rating,pid_db,Q_left,Q_right,PE
5c284ae48e845b0001fc40aa,362,1,other,45,1647966417.832,1,1647966418.933,1,1647966423.455,1.1010000705718994,slow,-1.0,-1.0,4,0.6078651662595123,0.6597616584107905,0.5276370893738813
5c284ae48e845b0001fc40aa,364,1,other,46,1647966424.505,1,1647966427.491,0,1647966430.511,2.985999822616577,fast,-1.0,-1.0,4,0.5388847882404375,0.42543675761726263,-0.6597616584107905
5c284ae48e845b0001fc40aa,367,1,other,47,1647966431.545,1,1647966433.948,0,1647966436.984,2.4029998779296875,fast,24.0,-1.0,4,0.514017748351362,0.27433609156353067,-0.42543675761726263
5c284ae48e845b0001fc40aa,369,1,other,48,1647966441.505,0,1647966443.291,1,1647966447.812,1.785999774932861,slow,-1.0,-1.0,4,0.6866221145694398,0.41864942504283426,0.48598225164863795
5c284ae48e845b0001fc40aa,372,1,other,49,1647966448.863,0,1647966450.265,0,1647966453.303,1.4020001888275146,fast,23.0,24.0,4,0.44275729334494096,0.4706735734051838,-0.6866221145694398
5c284ae48e845b0001fc40aa,375,1,other,50,1647966462.025,0,1647966469.166,0,1647966472.187,7.140999794006348,fast,-1.0,-1.0,4,0.28550496211888715,0.48942798748166205,-0.44275729334494096
5c284ae48e845b0001fc40aa,378,1,other,51,1647966473.22,0,1647966477.46,0,1647966481.997,4.240000009536743,slow,23.0,25.0,4,0.18410331036828886,0.49618884870522717,-0.28550496211888715
5c284ae48e845b0001fc40aa,382,1,other,52,1647966489.803,1,1647966491.355,1,1647966495.876,1.5520000457763672,slow,-1.0,-1.0,4,0.386121012851996,0.6751254336686341,0.5038111512947728
5c284ae48e845b0001fc40aa,392,1,other,53,1647966496.927,1,1647966523.27,0,1647966526.29,26.342999935150143,fast,-1.0,-1.0,4,0.45894726301508726,0.4353438424669669,-0.6751254336686341
5c284ae48e845b0001fc40aa,396,1,other,54,1647966527.341,1,1647966527.975,1,1647966532.496,0.6339998245239258,slow,24.0,25.0,4,0.48520071826980626,0.6358905041433869,0.5646561575330331
5c284ae48e845b0001fc40aa,400,1,other,55,1647966540.755,0,1647966542.856,0,1647966545.876,2.1009998321533203,fast,24.0,-1.0,4,0.31287392612583087,0.5489877655664014,-0.48520071826980626
5c284ae48e845b0001fc40aa,403,1,other,56,1647966551.732,0,1647966553.383,1,1647966557.905,1.6509997844696045,slow,-1.0,-1.0,4,0.556917736554354,0.5176598150865385,0.6871260738741691
5c284ae48e845b0001fc40aa,406,1,other,57,1647966558.939,0,1647966563.961,0,1647966568.482,5.022000074386597,slow,-1.0,-1.0,4,0.3591194988049856,0.5063662644189804,-0.556917736554354
5c284ae48e845b0001fc40aa,409,1,other,58,1647966569.517,1,1647966570.185,1,1647966573.203,0.6679999828338623,fast,-1.0,-1.0,4,0.4492133684474644,0.6816881774822284,0.49363373558101964
5c284ae48e845b0001fc40aa,412,1,other,59,1647966574.255,1,1647966575.09,1,1647966578.109,0.8349997997283936,fast,-1.0,-1.0,4,0.48169170380163095,0.794741710196678,0.31831182251777157
5c284ae48e845b0001fc40aa,417,1,other,60,1647966579.143,1,1647966581.396,1,1647966585.917,2.253000020980835,slow,26.0,28.0,4,0.49339996177260786,0.8676424733466119,0.20525828980332195
5c284ae48e845b0001fc40aa,426,2,money,1,1647966600.248,0,1647966614.096,1,1647966617.115,13.848000049591064,fast,-1.0,-1.0,4,0.7906517438884055,0.5,0.5
5c284ae48e845b0001fc40aa,430,2,money,2,1647966618.182,0,1647966620.652,1,1647966623.671,2.470000028610229,fast,20.0,-1.0,4,0.9123466153260685,0.5,0.20934825611159447
5c284ae48e845b0001fc40aa,434,2,money,3,1647966628.593,0,1647966630.061,1,1647966634.582,1.4680001735687256,slow,-1.0,-1.0,4,0.9632998335524674,0.5,0.08765338467393147
5c284ae48e845b0001fc40aa,437,2,money,4,1647966635.617,0,1647966636.434,1,1647966640.972,0.8169999122619629,slow,-1.0,-1.0,4,0.9846337683104076,0.5,0.0367001664475326
5c284ae48e845b0001fc40aa,443,2,money,5,1647966642.023,0,1647966646.31,1,1647966649.329,4.286999940872192,fast,20.0,30.0,4,0.9935662123855542,0.5,0.015366231689592391
5c284ae48e845b0001fc40aa,446,2,money,6,1647966659.44,1,1647966660.257,0,1647966664.778,0.8169999122619629,slow,-1.0,-1.0,4,0.9268705718041784,0.20934825611159447,-0.5
5c284ae48e845b0001fc40aa,449,2,money,7,1647966665.813,0,1647966666.864,1,1647966669.883,1.0510001182556152,fast,-1.0,-1.0,4,0.9693809634735334,0.24862404881838585,0.07312942819582158
